,Region,Algoma,Bruce,Brant,Cochrane,Dufferin,Durham,Elgin,Essex,Frontenac,Grey,Hamilton,Haliburton,Haldimand,Hastings,Halton,Huron,Kenora,Chatham-Kent,Lennox and Addington,Leeds and Grenville,Lambton,Lanark,Manitoulin,Middlesex,Muskoka,Norfolk,Niagara,Nipissing,Northumberland,Ottawa,Oxford,Peterborough,Prince Edward,Peel,Prescott and Russell,Parry Sound,Perth,Renfrew,Rainy River,Sudbury,Simcoe,"Stormont, Dundas and Glengarry",Greater Sudbury,Thunder Bay,Timiskaming,Toronto,Kawartha Lakes,Wellington,Waterloo,York
Species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Parasitic Jaeger,,2022-05-08,,,,,2022-05-15,,2022-05-01,,,,,,,2022-04-01,,2022-05-22,,,,,,,,,2022-04-15,,,,2022-05-15,,,,,,,,,,,,,,,,,,,,
Pectoral Sandpiper,,2022-04-30,2022-03-16,2022-04-15,2022-05-03,2022-04-01,2022-04-13,2022-03-20,2022-03-19,,2022-04-06,2022-03-18,2022-05-15,2022-04-08,2022-04-15,2022-03-27,2022-04-15,2022-05-03,2022-03-25,2022-04-06,2022-04-15,2022-03-25,2022-05-08,,2022-04-09,2022-05-01,2022-03-23,2022-04-30,,2022-04-18,2022-04-10,2022-04-24,2022-04-22,2022-04-01,2022-05-08,2022-04-24,2022-05-08,2022-04-15,2022-05-01,2022-05-08,,2022-03-27,2022-04-30,,2022-05-11,2022-05-08,2022-03-08,2022-04-11,2022-04-09,2022-04-08,2022-04-13
Peregrine Falcon,,2022-03-10,2022-04-02,2022-03-07,2022-04-06,2022-04-10,2022-04-14,2022-04-11,2022-05-01,2022-03-06,2022-02-23,2022-02-27,2022-05-02,2022-04-30,2022-02-28,2022-03-07,2022-03-06,2022-05-08,2022-05-07,2022-05-19,2022-03-15,2022-02-28,2022-05-08,2022-05-15,2022-04-21,2022-04-15,2022-04-22,2022-03-18,2022-03-12,2022-03-14,2022-03-09,2022-04-11,2022-02-28,2022-04-22,2022-02-28,2022-05-05,2022-03-08,2022-04-25,2022-04-19,2022-04-24,2022-04-15,2022-05-06,2022-04-04,2022-03-17,2022-03-22,2022-04-17,2022-04-21,2022-04-15,2022-03-14,2022-05-17,2022-03-07
Philadelphia Vireo,,2022-05-08,2022-05-05,2022-05-07,2022-05-14,2022-05-09,2022-05-06,2022-05-07,2022-05-01,2022-05-07,2022-05-07,2022-05-07,2022-05-07,2022-05-01,2022-05-04,2022-05-07,2022-05-07,2022-05-15,2022-05-03,2022-05-08,2022-05-08,2022-05-07,2022-05-08,2022-05-11,2022-05-07,2022-05-07,2022-05-03,2022-05-05,2022-05-09,2022-05-03,2022-05-04,2022-05-06,2022-05-07,2022-05-05,2022-05-06,2022-05-08,2022-05-03,2022-05-07,2022-05-11,2022-05-14,2022-05-12,2022-05-08,2022-05-02,2022-05-07,2022-05-11,2022-05-08,2022-05-05,2022-05-07,2022-05-06,2022-05-07,2022-05-07
Pied-billed Grebe,,2022-03-29,2022-03-21,2022-03-15,2022-04-03,2022-03-28,2022-03-09,2022-03-17,2022-03-11,2022-03-11,2022-03-15,2022-03-19,2022-03-23,2022-03-22,2022-03-15,2022-03-22,2022-03-20,2022-03-25,2022-03-16,2022-03-26,2022-03-19,2022-03-14,2022-03-07,2022-03-17,2022-03-17,2022-03-15,2022-03-16,2022-03-28,2022-04-10,2022-03-12,2022-03-23,2022-03-22,2022-03-06,2022-03-26,2022-03-08,2022-05-04,2022-03-23,2022-03-18,2022-04-01,2022-03-28,2022-03-15,2022-03-20,2022-03-28,2022-04-02,2022-04-05,2022-04-10,2022-03-12,2022-03-18,2022-03-16,2022-03-17,2022-03-14
Pileated Woodpecker,,2022-02-28,2022-03-15,2022-05-24,2022-03-27,2022-04-16,2022-05-21,2022-04-15,2022-04-09,2022-03-09,2022-03-09,2022-03-27,2022-04-01,2022-03-26,2022-03-22,2022-04-08,2022-04-12,2022-02-20,2022-03-20,2022-03-10,2022-03-31,2022-04-16,2022-04-04,2022-04-05,2022-03-19,2022-04-21,2022-04-12,2022-04-07,2022-03-08,2022-03-09,2022-04-01,2022-05-07,2022-03-23,2022-03-22,2022-04-02,2022-04-11,2022-03-22,2022-03-11,2022-04-04,2022-03-18,2022-04-07,2022-05-09,2022-04-01,2022-03-09,2022-02-22,2022-03-15,2022-03-10,2022-04-29,2022-03-24,2022-04-07,2022-03-31
Pine Grosbeak,,2022-02-28,2022-02-28,,2022-02-27,2022-03-21,2022-02-28,,2022-02-28,2022-03-07,2022-02-28,2022-02-28,2022-03-07,,2022-02-28,2022-02-28,2022-02-28,2022-02-28,,2022-02-28,2022-02-28,,2022-03-07,2022-05-21,2022-02-28,2022-02-28,2022-02-28,,2022-02-28,2022-02-28,2022-02-28,,2022-02-28,2022-03-31,2022-03-05,2022-02-27,2022-02-28,2022-04-18,2022-03-06,2022-02-28,2022-04-14,2022-02-28,2022-03-14,2022-02-28,2022-02-28,2022-02-28,2022-03-07,2022-02-28,2022-02-28,2022-04-21,2022-02-28
Pine Siskin,,2022-05-05,2022-04-22,2022-02-23,2022-02-20,2022-04-14,2022-03-22,2022-02-28,2022-02-28,2022-03-21,2022-04-23,2022-04-23,2022-02-23,2022-04-24,2022-03-08,2022-03-07,2022-05-07,2022-02-18,2022-04-28,2022-03-11,2022-04-24,2022-04-08,2022-03-19,2022-02-20,2022-02-28,2022-02-19,2022-04-26,2022-04-15,2022-02-17,2022-04-20,2022-03-15,2022-02-28,2022-03-15,2022-04-23,2022-04-19,2022-02-28,2022-02-22,2022-02-25,2022-02-17,2022-03-23,2022-02-15,2022-03-18,2022-04-02,2022-04-30,2022-02-15,2022-04-28,2022-02-19,2022-02-17,2022-03-07,2022-02-25,2022-02-23
Pine Warbler,,2022-04-17,2022-04-08,2022-04-05,2022-05-23,2022-04-10,2022-04-07,2022-04-04,2022-04-06,2022-04-09,2022-04-09,2022-04-08,2022-04-14,2022-04-03,2022-04-10,2022-04-03,2022-04-14,2022-05-03,2022-04-05,2022-04-07,2022-04-08,2022-04-07,2022-04-11,2022-04-14,2022-04-03,2022-04-11,2022-04-03,2022-04-10,2022-04-18,2022-04-09,2022-04-07,2022-04-05,2022-04-08,2022-04-07,2022-04-08,2022-04-08,2022-04-13,2022-04-08,2022-04-11,2022-04-22,2022-04-20,2022-04-07,2022-04-10,2022-04-19,2022-04-26,2022-04-15,2022-04-05,2022-04-08,2022-04-08,2022-04-08,2022-04-08
Piping Plover,,,2022-04-24,,,,2022-04-20,2022-04-08,2022-04-08,,,2022-05-15,,,,2022-05-08,,2022-05-22,2022-04-24,,,2022-05-14,,2022-05-01,,,2022-04-01,,,2022-04-18,,2022-05-08,,2022-05-15,,,2022-05-08,,,2022-05-18,,2022-04-15,,,2022-05-15,,2022-05-14,,,,2022-05-20
Pomarine Jaeger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-03-15,,,,
Prairie Warbler,,,2022-05-08,,,,2022-04-24,2022-05-01,2022-04-15,2022-05-01,,2022-04-30,2022-05-08,,2022-04-22,2022-04-22,,,2022-04-17,2022-05-02,2022-04-22,2022-05-08,,,2022-05-08,2022-05-08,2022-04-19,2022-04-24,,2022-05-15,2022-05-15,,2022-04-22,2022-04-23,2022-04-23,,2022-04-30,,,,2022-05-15,2022-04-24,,,,,2022-04-22,2022-05-11,2022-05-01,2022-04-22,2022-05-08
Prothonotary Warbler,,,,2022-04-30,,,2022-05-08,2022-05-15,2022-04-24,,,2022-05-08,,,,2022-04-22,2022-05-15,,2022-04-25,,,2022-05-01,,,2022-04-15,,2022-05-01,,,2022-05-01,,,,,2022-05-22,,,,,,,2022-05-01,,,,,2022-05-22,,2022-05-15,2022-05-08,
Purple Finch,,2022-04-16,2022-04-01,2022-04-23,2022-04-03,2022-04-16,2022-03-21,2022-04-25,2022-04-05,2022-03-14,2022-04-01,2022-04-09,2022-04-07,2022-03-19,2022-04-09,2022-03-23,2022-04-15,2022-02-18,2022-04-05,2022-04-16,2022-04-02,2022-03-24,2022-04-02,2022-02-22,2022-04-08,2022-04-08,2022-04-05,2022-03-30,2022-05-01,2022-04-06,2022-03-06,2022-04-13,2022-03-26,2022-04-03,2022-04-08,2022-03-25,2022-04-11,2022-04-08,2022-04-08,2022-03-25,2022-04-05,2022-03-31,2022-03-19,2022-03-20,2022-04-07,2022-04-10,2022-04-04,2022-04-05,2022-04-01,2022-04-14,2022-04-04
Purple Martin,,2022-05-08,2022-05-07,2022-05-07,,2022-04-22,2022-04-09,2022-04-14,2022-04-03,2022-04-09,2022-05-06,2022-04-11,2022-05-15,2022-04-03,2022-04-21,2022-04-14,2022-04-05,2022-05-22,2022-04-07,2022-04-08,2022-04-10,2022-04-08,2022-04-18,2022-05-01,2022-04-11,2022-05-09,2022-04-02,2022-04-05,,2022-04-14,2022-04-14,2022-04-09,2022-04-21,2022-04-07,2022-04-14,2022-04-21,2022-05-01,2022-05-22,2022-04-22,2022-04-30,,2022-04-13,2022-04-10,,,,2022-04-06,2022-04-18,2022-04-14,2022-04-13,2022-04-21
Purple Sandpiper,,,,,,,2022-02-28,,2022-05-07,,,,,,,2022-02-28,,,2022-03-03,,,,,,,,,2022-03-18,,2022-05-21,2022-04-15,,,2022-05-15,,2022-05-15,,,,,,,,2022-03-23,2022-04-15,,2022-05-21,,,,
Red-breasted Merganser,,2022-04-14,2022-04-05,2022-03-16,2022-04-30,2022-04-02,2022-04-08,2022-04-07,2022-03-20,2022-03-07,2022-02-28,2022-03-07,2022-02-18,2022-04-15,2022-03-09,2022-03-03,2022-03-20,2022-04-18,2022-03-17,2022-02-24,2022-02-20,2022-04-09,2022-03-04,2022-04-10,2022-02-19,2022-02-15,2022-03-22,2022-04-07,2022-05-07,2022-03-05,2022-04-05,2022-04-07,2022-03-07,2022-03-12,2022-03-30,2022-05-01,2022-05-08,2022-04-03,2022-05-07,2022-04-13,2022-05-03,2022-04-10,2022-03-21,2022-05-20,2022-04-11,2022-05-06,2022-02-20,2022-03-31,2022-02-19,2022-02-19,2022-03-22
Red-breasted Nuthatch,,2022-05-14,2022-04-24,2022-02-28,2022-02-28,2022-05-07,2022-04-30,2022-04-30,2022-04-23,2022-04-26,2022-02-28,2022-04-30,2022-05-13,2022-04-25,2022-03-05,2022-05-07,2022-04-30,2022-02-24,2022-04-22,2022-05-01,2022-04-20,2022-04-27,2022-02-28,2022-04-23,2022-04-30,2022-03-07,2022-04-08,2022-04-26,2022-02-28,2022-02-28,2022-02-28,2022-02-28,2022-04-28,2022-04-24,2022-04-30,2022-02-27,2022-05-07,2022-02-28,2022-03-14,2022-03-27,2022-02-28,2022-05-07,2022-05-14,2022-03-07,2022-03-07,2022-03-03,2022-04-30,2022-05-07,2022-05-07,2022-02-28,2022-05-07
Red-bellied Woodpecker,,2022-04-30,2022-05-04,2022-04-23,2022-03-14,2022-05-21,2022-04-28,2022-04-26,2022-03-24,2022-04-29,2022-02-28,2022-04-12,2022-03-15,2022-03-22,2022-04-25,2022-03-29,2022-05-14,2022-05-01,2022-04-07,2022-02-28,2022-05-07,2022-03-15,2022-05-03,2022-03-31,2022-03-31,2022-03-01,2022-04-07,2022-03-13,2022-04-14,2022-04-19,2022-03-07,2022-05-13,2022-04-23,2022-02-28,2022-03-31,2022-02-28,2022-03-13,2022-04-05,2022-04-07,2022-05-07,2022-03-26,2022-05-08,2022-05-07,2022-02-28,2022-02-25,2022-02-28,2022-03-17,2022-02-28,2022-04-28,2022-04-11,2022-04-25
Red Crossbill,,2022-04-14,2022-05-20,2022-03-08,2022-03-14,2022-03-01,2022-03-07,2022-02-28,2022-04-21,2022-02-28,,2022-03-31,2022-03-21,2022-03-04,2022-02-16,2022-02-28,,2022-03-26,,2022-03-14,2022-03-07,2022-02-28,2022-03-14,2022-02-28,2022-04-14,2022-02-25,2022-02-28,2022-03-17,2022-02-28,2022-03-08,2022-03-07,,2022-03-07,2022-03-01,2022-02-28,2022-03-05,2022-02-21,2022-03-15,2022-02-23,2022-05-07,2022-03-04,2022-05-21,2022-03-03,2022-03-04,2022-02-19,2022-02-28,2022-03-03,2022-05-07,2022-03-14,2022-03-21,2022-05-16
Redhead,,2022-03-31,2022-03-04,2022-03-08,2022-04-24,2022-03-14,2022-02-19,2022-02-27,2022-02-18,2022-03-03,2022-03-14,2022-03-04,,2022-03-07,2022-02-19,2022-02-26,2022-03-01,2022-04-21,2022-02-18,2022-03-09,2022-02-22,2022-02-28,2022-04-04,2022-05-08,2022-02-18,2022-03-16,2022-02-19,2022-03-01,2022-04-16,2022-03-01,2022-04-01,2022-03-01,2022-03-01,2022-02-22,2022-02-26,2022-04-09,2022-04-08,2022-03-18,2022-03-22,2022-04-08,,2022-03-04,2022-03-11,2022-04-16,2022-04-02,2022-04-17,2022-03-12,2022-03-01,2022-02-21,2022-03-01,2022-03-14
Red Knot,,2022-05-15,2022-05-15,,2022-05-15,,2022-05-16,2022-05-15,2022-05-08,,,2022-05-15,,2022-05-08,,2022-05-15,,,2022-05-13,2022-05-11,,2022-05-08,,2022-05-08,,2022-05-22,2022-05-14,2022-05-15,2022-05-15,2022-05-14,2022-05-15,,,2022-05-20,2022-05-15,2022-05-15,,2022-05-15,2022-05-15,2022-05-15,,2022-05-15,,,2022-05-23,2022-05-16,2022-05-14,,,,2022-05-22
Red-headed Woodpecker,,2022-05-08,2022-04-26,2022-05-07,,2022-05-03,2022-05-01,2022-04-19,2022-04-18,2022-05-03,2022-05-01,2022-04-24,2022-05-08,2022-04-25,2022-04-27,2022-05-07,2022-04-17,,2022-04-20,2022-05-09,2022-03-06,2022-04-19,2022-04-01,2022-04-26,2022-04-25,2022-05-04,2022-04-17,2022-05-04,,2022-04-30,2022-05-13,2022-04-30,2022-05-03,2022-04-30,2022-04-08,,2022-05-08,2022-05-08,2022-05-15,2022-05-14,,2022-05-01,,,2022-05-15,,2022-04-22,2022-05-09,2022-05-12,2022-05-07,2022-05-07
Red-necked Grebe,,2022-04-15,2022-03-25,2022-04-16,2022-05-02,2022-04-08,2022-03-09,2022-03-16,2022-02-22,2022-02-28,2022-03-11,2022-03-16,2022-05-14,2022-02-22,2022-03-09,2022-03-02,2022-03-15,2022-04-17,2022-04-12,2022-04-26,2022-04-07,2022-03-20,2022-03-03,2022-04-30,2022-02-26,2022-04-09,2022-04-19,2022-03-20,2022-04-17,2022-03-10,2022-04-09,2022-04-15,2022-02-23,2022-03-24,2022-03-08,2022-04-13,2022-04-18,2022-04-01,2022-04-17,2022-04-14,2022-05-15,2022-04-11,2022-04-15,2022-04-21,2022-04-13,2022-04-24,2022-02-28,2022-03-02,2022-03-17,2022-03-23,2022-04-01
Red-necked Phalarope,,,,,2022-05-15,,2022-05-15,2022-05-15,2022-04-27,,,,,2022-05-08,,,,2022-05-17,2022-05-08,2022-05-15,,2022-05-04,,,2022-05-08,,2022-05-15,,2022-05-01,,2022-05-18,,2022-05-07,2022-05-15,,2022-05-15,,,,2022-05-15,,2022-05-22,2022-05-05,2022-05-22,,2022-05-11,,,,,
Red-shouldered Hawk,,2022-03-09,2022-03-05,2022-03-07,,2022-03-31,2022-05-22,2022-03-21,2022-02-28,2022-03-13,2022-03-11,2022-03-07,2022-03-21,2022-04-04,2022-03-05,2022-03-03,2022-04-01,,2022-03-14,2022-03-24,2022-03-07,2022-03-10,2022-03-11,2022-03-17,2022-03-12,2022-03-13,2022-05-14,2022-03-04,2022-05-08,2022-03-16,2022-03-10,2022-04-14,2022-03-08,2022-05-02,2022-02-24,2022-04-23,2022-03-18,2022-03-15,2022-03-21,2022-04-22,2022-04-22,2022-03-17,2022-03-21,,,,2022-03-31,2022-03-23,2022-03-07,2022-03-31,2022-03-13
Red-tailed Hawk,,2022-03-21,2022-02-28,2022-03-10,2022-04-01,2022-03-31,2022-03-07,2022-03-07,2022-03-07,2022-03-07,2022-03-14,2022-03-02,2022-03-16,2022-02-26,2022-02-19,2022-03-09,2022-03-15,2022-03-22,2022-02-28,2022-02-26,2022-03-07,2022-03-11,2022-03-27,2022-04-26,2022-02-28,2022-03-13,2022-03-07,2022-02-26,2022-03-18,2022-02-28,2022-03-19,2022-03-12,2022-03-07,2022-05-07,2022-03-09,2022-03-31,2022-03-22,2022-02-28,2022-03-10,2022-04-18,2022-04-05,2022-03-21,2022-04-03,2022-05-10,2022-03-20,2022-03-16,2022-03-01,2022-05-21,2022-02-28,2022-03-07,2022-02-28
Red-throated Loon,,2022-04-20,2022-02-28,,2022-05-15,,2022-05-13,2022-04-22,2022-04-21,2022-03-04,2022-05-21,2022-02-23,,2022-04-30,,2022-02-24,2022-05-08,2022-05-16,2022-04-14,2022-05-10,2022-05-01,2022-04-12,,2022-05-01,2022-04-08,,2022-04-15,2022-02-22,2022-05-22,2022-03-31,2022-05-14,,2022-05-15,2022-05-03,2022-04-25,,2022-05-23,,,,,2022-04-22,2022-04-27,,2022-04-21,,2022-04-08,,,,
Red-winged Blackbird,,2022-03-15,2022-03-02,2022-02-23,2022-03-23,2022-03-06,2022-02-28,2022-02-23,2022-02-21,2022-02-28,2022-02-28,2022-02-25,2022-03-03,2022-02-24,2022-03-02,2022-02-26,2022-02-25,2022-04-10,2022-02-21,2022-02-28,2022-03-01,2022-02-23,2022-03-02,2022-03-13,2022-02-24,2022-03-05,2022-02-21,2022-02-25,2022-03-11,2022-02-28,2022-03-04,2022-02-25,2022-03-02,2022-02-28,2022-02-24,2022-03-03,2022-03-12,2022-03-01,2022-03-01,2022-03-21,2022-03-31,2022-03-01,2022-03-01,2022-03-15,2022-03-26,2022-03-17,2022-02-25,2022-02-26,2022-02-28,2022-02-27,2022-03-01
Ring-billed Gull,,2022-03-06,2022-02-27,2022-02-27,2022-04-02,2022-03-09,2022-02-22,2022-03-03,2022-02-20,2022-03-03,2022-02-28,2022-02-25,2022-03-16,2022-02-27,2022-03-02,2022-02-23,2022-02-28,2022-03-17,2022-02-20,2022-03-01,2022-03-01,2022-02-25,2022-03-03,2022-03-12,2022-03-02,2022-03-14,2022-02-20,2022-03-01,2022-03-20,2022-02-28,2022-03-02,2022-02-27,2022-03-01,2022-03-01,2022-02-28,2022-03-10,2022-03-17,2022-03-02,2022-03-12,2022-03-15,2022-03-23,2022-03-02,2022-03-01,2022-03-09,2022-03-17,2022-03-24,2022-02-23,2022-03-01,2022-02-25,2022-02-24,2022-02-28
Ring-necked Duck,,2022-03-23,2022-03-06,2022-03-01,2022-04-05,2022-03-14,2022-03-01,2022-03-01,2022-02-24,2022-03-03,2022-03-06,2022-03-04,2022-03-23,2022-03-03,2022-03-03,2022-03-03,2022-03-01,2022-04-10,2022-02-24,2022-03-05,2022-03-04,2022-03-01,2022-03-10,2022-03-21,2022-03-02,2022-03-21,2022-02-27,2022-03-02,2022-03-31,2022-03-02,2022-03-15,2022-03-01,2022-03-01,2022-03-01,2022-02-24,2022-03-18,2022-03-22,2022-03-09,2022-03-20,2022-03-30,2022-03-31,2022-03-06,2022-03-10,2022-03-22,2022-03-31,2022-04-06,2022-03-02,2022-03-04,2022-03-04,2022-03-01,2022-03-08
Rose-breasted Grosbeak,,2022-05-03,2022-04-28,2022-04-25,2022-05-09,2022-05-01,2022-04-25,2022-04-23,2022-04-22,2022-04-26,2022-04-30,2022-04-28,2022-04-28,2022-04-23,2022-04-29,2022-04-26,2022-04-27,2022-05-06,2022-04-22,2022-04-26,2022-04-25,2022-04-25,2022-04-26,2022-04-30,2022-04-23,2022-05-01,2022-04-22,2022-04-24,2022-05-02,2022-04-24,2022-04-30,2022-04-25,2022-04-28,2022-04-24,2022-04-26,2022-04-28,2022-05-01,2022-04-27,2022-05-01,2022-05-03,2022-05-07,2022-04-30,2022-04-27,2022-05-02,2022-05-03,2022-05-06,2022-04-26,2022-04-27,2022-04-30,2022-04-25,2022-04-27
Rough-legged Hawk,,2022-03-10,2022-03-31,2022-03-07,2022-03-23,2022-04-07,2022-03-07,2022-03-07,2022-02-28,2022-03-04,2022-03-12,2022-03-14,2022-03-15,2022-02-28,2022-03-31,2022-02-28,2022-03-07,2022-03-31,2022-02-28,2022-02-23,2022-03-07,2022-03-07,2022-02-28,2022-04-12,2022-02-28,2022-03-17,2022-02-28,2022-03-13,2022-03-15,2022-03-31,2022-03-10,2022-02-28,2022-02-28,2022-03-21,2022-02-28,2022-03-31,2022-03-07,2022-03-07,2022-03-22,2022-04-08,2022-04-11,2022-02-28,2022-02-28,2022-03-23,2022-03-25,2022-03-18,2022-02-28,2022-03-21,2022-02-28,2022-02-28,2022-02-28
Ross's Goose,,2022-03-08,2022-03-08,2022-03-01,,2022-03-23,2022-03-03,2022-03-04,2022-03-07,2022-02-28,,2022-03-11,,2022-03-07,2022-02-28,2022-03-14,2022-03-01,,2022-03-20,2022-02-28,,2022-02-28,2022-04-01,2022-03-08,2022-03-07,,2022-02-28,2022-02-28,,2022-04-08,2022-03-08,2022-03-01,2022-03-15,2022-02-27,2022-02-28,2022-03-11,,2022-03-22,2022-04-01,2022-04-08,,2022-02-18,2022-03-02,2022-03-22,,2022-04-08,2022-02-28,,2022-02-22,2022-03-15,2022-02-25
Ruby-throated Hummingbird,,2022-05-07,2022-04-30,2022-04-28,2022-05-10,2022-04-27,2022-04-30,2022-04-26,2022-04-25,2022-05-02,2022-05-02,2022-05-03,2022-05-02,2022-04-28,2022-05-02,2022-05-01,2022-04-29,2022-05-10,2022-04-24,2022-04-30,2022-05-01,2022-04-28,2022-04-30,2022-04-26,2022-04-30,2022-05-04,2022-04-23,2022-04-28,2022-05-02,2022-04-26,2022-05-04,2022-04-28,2022-05-02,2022-05-01,2022-04-30,2022-05-03,2022-05-03,2022-05-02,2022-05-02,2022-05-08,2022-05-07,2022-05-01,2022-05-02,2022-05-06,2022-05-06,2022-05-04,2022-04-30,2022-04-30,2022-05-02,2022-05-02,2022-04-30
Ruby-crowned Kinglet,,2022-04-11,2022-04-07,2022-04-05,2022-04-24,2022-04-09,2022-04-06,2022-04-07,2022-04-03,2022-04-08,2022-04-09,2022-04-08,2022-04-08,2022-04-02,2022-04-11,2022-04-10,2022-04-06,2022-04-22,2022-04-03,2022-04-08,2022-04-09,2022-04-04,2022-04-11,2022-04-13,2022-04-05,2022-04-08,2022-04-02,2022-04-05,2022-04-10,2022-04-06,2022-04-10,2022-04-08,2022-04-08,2022-04-04,2022-04-08,2022-04-13,2022-04-08,2022-04-07,2022-04-09,2022-04-09,2022-04-14,2022-04-07,2022-04-11,2022-04-10,2022-04-14,2022-04-14,2022-04-05,2022-04-08,2022-04-07,2022-04-08,2022-04-09
Ruddy Duck,,2022-04-10,2022-03-25,2022-03-15,2022-05-08,2022-04-14,2022-03-10,2022-03-06,2022-03-11,2022-03-17,2022-04-16,2022-03-27,2022-02-28,2022-03-08,2022-04-18,2022-03-14,2022-03-09,2022-05-07,2022-03-10,2022-04-15,2022-04-01,2022-03-13,2022-04-30,2022-05-01,2022-03-17,2022-04-14,2022-03-01,2022-03-17,2022-04-26,2022-03-07,2022-04-01,2022-03-22,2022-05-08,2022-03-18,2022-04-01,2022-04-11,,2022-03-31,2022-04-01,2022-05-02,,2022-03-18,2022-04-15,2022-05-15,2022-04-08,2022-04-25,2022-03-02,2022-04-01,2022-03-21,2022-03-11,2022-03-17
